Date,Primary Keywords,Location,Device Type,Organic_Traffic,Keywords_Ranking,Clicks,Impressions,CTR (%),Average_Position,Conversion_Rate (%),Top_Landing_Pages,Keyword_Difficulty,Organic_Revenue ($),Technical_SEO_Errors,Opportunity_Score,Action_Category
2023-01-01 00:00:00,eco-friendly accessories,Mexico,Mobile,7965,81,2139,43080,3.14,46.44,6.8,Category Page,65.48,3597.9,13,927.6485788113696,Low Priority
2023-01-01 01:00:00,eco-friendly accessories,Mexico,Laptop,6553,45,2799,15013,1.43,31.6,3.5,Homepage,43.29,5806.19,19,475.0949367088607,Low Priority
2023-01-01 02:00:00,vegan leather handbags,Australia,Laptop,1982,96,2990,28455,3.45,36.2,12.36,Homepage,79.87,1170.33,7,786.049723756906,Low Priority
2023-01-01 03:00:00,organic cotton apparel,Mexico,Desktop,6363,78,2905,3189,0.96,30.98,3.98,Blog Post,56.45,1182.17,7,102.93737895416399,Low Priority
2023-01-01 04:00:00,organic cotton apparel,Germany,Laptop,8720,79,337,27380,8.3,9.93,7.88,Homepage,54.3,692.14,14,2757.30110775428,Quick Win
2023-01-01 05:00:00,recycled fabric dresses,United Kingdom,Desktop,4225,73,1643,24483,8.28,47.35,2.16,Blog Post,37.58,8709.74,11,517.064413938754,Low Priority
2023-01-01 06:00:00,organic cotton apparel,Canada,Mobile,9770,26,357,46134,3.56,20.02,13.41,Homepage,75.47,924.4,19,2304.3956043956046,Low Priority
2023-01-01 07:00:00,eco-friendly accessories,United States,Tablet,5021,59,147,12213,5.62,8.65,12.57,Blog Post,52.5,8254.09,0,1411.907514450867,Quick Win
2023-01-01 08:00:00,sustainable outdoor gear,United Kingdom,Laptop,4156,93,2780,25644,9.87,3.26,0.62,Blog Post,64.02,589.03,8,7866.257668711656,Quick Win
2023-01-01 09:00:00,organic cotton apparel,Germany,Tablet,2397,1,1522,26852,6.91,43.3,4.72,Blog Post,74.68,4784.15,18,620.1385681293302,Low Priority
2023-01-01 10:00:00,sustainable outdoor gear,Germany,Mobile,7201,48,1723,15730,6.61,27.73,8.88,Blog Post,50.97,7779.44,3,567.255679769203,Low Priority
2023-01-01 11:00:00,eco-friendly accessories,United Kingdom,Laptop,7614,77,1892,8838,9.4,20.26,8.05,Product Page,60.36,2938.16,3,436.22902270483706,Low Priority
2023-01-01 12:00:00,sustainable outdoor gear,Canada,Mobile,1443,37,2438,42227,4.74,20.15,2.64,Product Page,20.15,7948.85,12,2095.632754342432,Low Priority
2023-01-01 13:00:00,vegan leather handbags,Australia,Mobile,2564,95,2430,26224,9.62,29.68,0.78,Category Page,59.67,132.77,6,883.5579514824797,Low Priority
2023-01-01 14:00:00,eco-friendly clothing,Canada,Laptop,3189,36,451,15551,1.4,22.06,14.63,Homepage,85.26,7848.61,4,704.9410698096101,Low Priority
2023-01-01 15:00:00,vegan leather handbags,Canada,Desktop,9144,78,2433,20136,3.01,4.6,4.03,Category Page,54.84,3988.96,19,4377.391304347827,Quick Win
2023-01-01 16:00:00,recycled fabric dresses,Australia,Desktop,2323,83,2599,18604,8.35,16.65,1.39,Homepage,78.62,4016.56,18,1117.3573573573574,Growth Opportunity
2023-01-01 17:00:00,eco-friendly accessories,Mexico,Laptop,9561,75,842,4992,5.75,17.95,1.19,Homepage,69.16,6035.09,6,278.1058495821727,Growth Opportunity
2023-01-01 18:00:00,eco-friendly clothing,United States,Tablet,3825,49,807,3192,7.2,3.36,10.23,Product Page,62.75,5256.57,4,950.0,Quick Win
2023-01-01 19:00:00,organic cotton apparel,United Kingdom,Desktop,2285,37,2977,19540,6.9,32.94,10.37,Homepage,15.66,917.18,16,593.1997571341834,Low Priority
2023-01-01 20:00:00,sustainable outdoor gear,Germany,Tablet,7989,55,880,39925,8.78,23.36,0.67,Homepage,35.3,3793.42,11,1709.1181506849314,Low Priority
2023-01-01 21:00:00,recycled fabric dresses,Australia,Desktop,3480,58,1556,25243,5.09,39.06,5.91,Category Page,58.44,9629.39,10,646.2621607782897,Low Priority
2023-01-01 22:00:00,eco-friendly accessories,Mexico,Laptop,9567,41,2470,2247,5.63,10.35,3.93,Homepage,53.79,4374.99,16,217.1014492753623,Growth Opportunity
2023-01-01 23:00:00,recycled fabric dresses,United States,Tablet,6350,80,2608,34419,1.23,48.91,9.96,Product Page,18.11,8926.65,11,703.7211204252709,Low Priority
2023-01-02 00:00:00,organic cotton apparel,Australia,Tablet,454,94,1855,38458,9.57,10.77,13.07,Blog Post,72.43,4639.03,19,3570.8449396471683,Growth Opportunity
2023-01-02 01:00:00,organic cotton apparel,Canada,Tablet,4499,87,62,46893,6.12,17.53,3.51,Blog Post,84.92,6034.36,7,2675.0142612664004,Growth Opportunity
2023-01-02 02:00:00,recycled fabric dresses,Mexico,Desktop,2868,15,1098,39272,5.44,49.69,12.48,Product Page,82.79,5827.8,3,790.3401086737774,Low Priority
2023-01-02 03:00:00,sustainable outdoor gear,Australia,Tablet,7253,59,432,3701,0.73,27.81,1.05,Homepage,73.59,7378.96,1,133.08162531463503,Low Priority
2023-01-02 04:00:00,sustainable outdoor gear,Mexico,Desktop,789,98,2542,5394,2.91,35.57,9.39,Product Page,64.16,4376.17,18,151.64464436322743,Low Priority
2023-01-02 05:00:00,organic cotton apparel,Germany,Laptop,3763,88,2302,23969,3.15,33.75,6.92,Category Page,19.3,1569.79,19,710.1925925925926,Low Priority
2023-01-02 06:00:00,sustainable outdoor gear,Canada,Mobile,7197,21,292,34092,5.42,8.95,2.43,Product Page,43.57,6751.1,10,3809.1620111731845,Quick Win
2023-01-02 07:00:00,sustainable outdoor gear,Canada,Laptop,2650,5,1606,13314,2.07,45.27,14.52,Homepage,14.46,5016.78,15,294.10205434062294,Low Priority
2023-01-02 08:00:00,eco-friendly clothing,Mexico,Mobile,9371,80,2187,18541,6.74,11.33,14.43,Blog Post,72.1,2764.62,15,1636.4518976169463,Growth Opportunity
2023-01-02 09:00:00,eco-friendly clothing,United Kingdom,Laptop,7290,67,2892,1846,6.53,38.19,8.68,Homepage,43.72,670.45,5,48.33726106310552,Low Priority
2023-01-02 10:00:00,eco-friendly accessories,Mexico,Laptop,2955,29,1614,26171,6.13,48.42,5.2,Product Page,61.32,3576.84,11,540.4997934737711,Low Priority
2023-01-02 11:00:00,eco-friendly accessories,Mexico,Desktop,6960,86,2358,49869,9.4,6.44,11.4,Category Page,17.25,8145.24,11,7743.63354037267,Quick Win
2023-01-02 12:00:00,vegan leather handbags,Australia,Desktop,5281,11,1229,18179,8.37,8.43,3.91,Product Page,31.49,7487.17,4,2156.4650059311984,Quick Win
2023-01-02 13:00:00,sustainable outdoor gear,United Kingdom,Desktop,4224,68,1658,7091,3.49,47.11,4.12,Blog Post,86.32,982.77,11,150.52005943536406,Low Priority
2023-01-02 14:00:00,sustainable outdoor gear,Australia,Tablet,303,22,2501,44746,7.6,20.38,3.36,Homepage,73.52,5483.59,0,2195.5839057899902,Low Priority
2023-01-02 15:00:00,eco-friendly clothing,United States,Laptop,5596,50,428,34234,0.83,3.73,7.23,Category Page,62.59,3083.81,18,9178.016085790885,Quick Win
2023-01-02 16:00:00,organic cotton apparel,Canada,Tablet,493,26,2197,25120,7.5,5.57,12.29,Blog Post,11.33,9232.0,18,4509.874326750449,Quick Win
2023-01-02 17:00:00,eco-friendly accessories,Germany,Desktop,6298,87,630,30583,2.52,21.24,2.25,Category Page,81.11,1201.35,9,1439.8775894538608,Low Priority
2023-01-02 18:00:00,eco-friendly accessories,United Kingdom,Laptop,1827,83,2760,1956,2.85,19.82,13.69,Category Page,79.43,5927.46,9,98.68819374369325,Growth Opportunity
2023-01-02 19:00:00,eco-friendly clothing,Mexico,Tablet,5415,83,497,22092,6.94,16.31,3.95,Product Page,86.54,3706.05,8,1354.5064377682404,Growth Opportunity
2023-01-02 20:00:00,vegan leather handbags,Canada,Desktop,9110,10,1780,17362,5.57,22.33,5.15,Homepage,40.46,5913.36,6,777.5190326914466,Low Priority
2023-01-02 21:00:00,eco-friendly clothing,Australia,Laptop,2386,75,2309,2118,8.35,2.05,13.28,Homepage,35.36,1603.09,7,1033.1707317073171,Maintain
2023-01-02 22:00:00,vegan leather handbags,United Kingdom,Desktop,4521,60,1152,37799,5.68,2.13,0.75,Blog Post,34.87,5757.71,10,17746.009389671362,Maintain
2023-01-02 23:00:00,sustainable outdoor gear,United Kingdom,Tablet,6498,29,2150,32838,8.0,6.2,1.86,Homepage,61.63,9534.41,1,5296.451612903225,Quick Win
2023-01-03 00:00:00,recycled fabric dresses,Germany,Desktop,7111,45,1798,38393,4.41,5.07,5.87,Blog Post,58.45,987.3,18,7572.583826429979,Quick Win
2023-01-03 01:00:00,vegan leather handbags,Australia,Tablet,2498,71,2107,27684,1.76,48.09,6.95,Product Page,41.54,754.98,19,575.670617592015,Low Priority
2023-01-03 02:00:00,eco-friendly accessories,Germany,Desktop,4215,25,2636,45844,5.11,3.22,6.56,Category Page,10.16,9233.31,5,14237.26708074534,Quick Win
2023-01-03 03:00:00,vegan leather handbags,Australia,Tablet,5829,40,2740,38861,6.93,35.75,13.82,Product Page,57.75,789.23,17,1087.020979020979,Low Priority
2023-01-03 04:00:00,recycled fabric dresses,United States,Tablet,2335,98,509,1190,9.16,42.03,6.37,Homepage,59.07,4317.06,2,28.31310968355936,Low Priority
2023-01-03 05:00:00,eco-friendly clothing,Germany,Desktop,6088,33,2152,20368,9.75,11.4,12.05,Product Page,10.34,3321.67,7,1786.6666666666665,Growth Opportunity
2023-01-03 06:00:00,eco-friendly clothing,Mexico,Desktop,5189,33,1138,25080,6.33,2.81,11.37,Product Page,82.76,634.61,18,8925.266903914591,Maintain
2023-01-03 07:00:00,recycled fabric dresses,Germany,Laptop,2536,20,2974,5591,0.99,34.46,5.0,Homepage,38.57,8886.86,5,162.2460824143935,Low Priority
2023-01-03 08:00:00,vegan leather handbags,Australia,Tablet,7736,72,657,26181,3.03,4.51,11.83,Product Page,17.45,6355.23,0,5805.09977827051,Quick Win
2023-01-03 09:00:00,eco-friendly clothing,United States,Mobile,8826,52,2755,28970,4.23,28.21,12.93,Category Page,73.3,1259.53,9,1026.9408011343494,Low Priority
2023-01-03 10:00:00,vegan leather handbags,United States,Tablet,4710,13,1227,36108,6.93,41.5,13.02,Blog Post,47.43,5232.68,3,870.0722891566265,Low Priority
2023-01-03 11:00:00,eco-friendly clothing,United States,Tablet,2452,83,459,4619,7.86,40.39,7.39,Category Page,70.3,5333.93,9,114.35999009655856,Low Priority
2023-01-03 12:00:00,eco-friendly clothing,Germany,Tablet,1433,31,1408,35366,3.1,2.16,9.45,Homepage,24.93,8298.94,14,16373.148148148146,Maintain
2023-01-03 13:00:00,eco-friendly accessories,Canada,Desktop,528,61,2564,23321,1.87,4.48,2.02,Category Page,27.86,1510.7,3,5205.580357142857,Quick Win
2023-01-03 14:00:00,recycled fabric dresses,Mexico,Laptop,2422,73,2619,8275,7.05,39.96,7.39,Category Page,22.95,9687.21,15,207.08208208208205,Low Priority
2023-01-03 15:00:00,sustainable outdoor gear,Australia,Tablet,6153,88,154,4485,5.74,6.41,5.05,Product Page,48.85,6523.62,7,699.6879875195008,Quick Win
2023-01-03 16:00:00,eco-friendly clothing,Australia,Mobile,525,34,1111,17689,3.21,8.96,9.21,Homepage,20.63,3693.1,5,1974.2187499999998,Quick Win
2023-01-03 17:00:00,eco-friendly accessories,Mexico,Desktop,7677,10,1457,16513,8.53,28.86,9.54,Blog Post,75.15,3084.51,0,572.1760221760221,Low Priority
2023-01-03 18:00:00,recycled fabric dresses,United States,Tablet,4835,1,2871,26246,9.49,27.0,14.07,Category Page,62.57,1950.34,10,972.074074074074,Low Priority
2023-01-03 19:00:00,eco-friendly accessories,Canada,Tablet,9598,88,888,31099,0.68,23.58,11.51,Category Page,73.56,8815.31,15,1318.8719253604752,Low Priority
2023-01-03 20:00:00,organic cotton apparel,Australia,Laptop,3980,92,2223,13502,9.36,34.69,9.47,Homepage,19.61,7918.26,17,389.2187950417988,Low Priority
2023-01-03 21:00:00,eco-friendly accessories,Germany,Mobile,4941,85,485,34726,8.29,17.46,11.12,Product Page,16.28,2274.89,15,1988.888888888889,Growth Opportunity
2023-01-03 22:00:00,sustainable outdoor gear,Germany,Laptop,524,47,600,17594,2.56,43.76,6.09,Category Page,87.56,2300.64,3,402.0566727605119,Low Priority
2023-01-03 23:00:00,eco-friendly clothing,Mexico,Laptop,3455,60,1617,35870,1.2,19.92,6.4,Category Page,47.92,8650.13,3,1800.7028112449796,Growth Opportunity
2023-01-04 00:00:00,sustainable outdoor gear,United Kingdom,Mobile,7049,90,2271,3770,5.97,33.37,1.94,Homepage,15.32,1777.73,10,112.97572670062932,Low Priority
2023-01-04 01:00:00,organic cotton apparel,United Kingdom,Laptop,2929,37,1860,12068,6.02,1.65,1.83,Homepage,11.8,6996.74,14,7313.939393939394,Maintain
2023-01-04 02:00:00,organic cotton apparel,Canada,Laptop,8398,11,1153,42083,3.65,6.4,1.96,Product Page,12.96,9682.22,2,6575.46875,Quick Win
2023-01-04 03:00:00,organic cotton apparel,Canada,Desktop,9734,14,2776,6883,7.03,21.48,11.07,Homepage,83.52,2875.32,3,320.4376163873371,Low Priority
2023-01-04 04:00:00,organic cotton apparel,Canada,Tablet,7763,93,2564,25163,0.72,15.67,14.78,Product Page,41.84,646.36,6,1605.807275047862,Growth Opportunity
2023-01-04 05:00:00,organic cotton apparel,Mexico,Desktop,5180,57,1321,25201,7.87,22.34,6.9,Product Page,89.63,7539.04,15,1128.066248880931,Low Priority
2023-01-04 06:00:00,recycled fabric dresses,Mexico,Desktop,2018,5,244,9768,3.1,24.32,12.32,Category Page,27.0,2883.21,7,401.6447368421053,Low Priority
2023-01-04 07:00:00,eco-friendly clothing,Canada,Desktop,8812,55,1083,25462,3.08,1.24,6.69,Homepage,72.24,4613.11,5,20533.870967741936,Maintain
2023-01-04 08:00:00,eco-friendly clothing,Australia,Laptop,6751,87,1630,15234,4.61,32.77,2.87,Blog Post,31.86,6020.04,7,464.8764113518461,Low Priority
2023-01-04 09:00:00,sustainable outdoor gear,Mexico,Desktop,7664,53,863,44634,0.84,15.32,2.42,Product Page,46.4,8171.53,10,2913.446475195822,Growth Opportunity
2023-01-04 10:00:00,sustainable outdoor gear,United Kingdom,Desktop,4392,67,1313,10585,2.18,7.98,12.41,Category Page,36.77,6225.64,17,1326.4411027568922,Quick Win
2023-01-04 11:00:00,eco-friendly clothing,Australia,Laptop,7198,30,1406,10796,3.59,16.22,7.22,Blog Post,19.49,9955.86,6,665.5980271270038,Growth Opportunity
2023-01-04 12:00:00,organic cotton apparel,United States,Tablet,5699,1,2236,17674,1.09,15.82,14.17,Product Page,67.12,6827.05,13,1117.1934260429834,Growth Opportunity
2023-01-04 13:00:00,sustainable outdoor gear,Germany,Laptop,5716,58,664,42913,6.43,6.86,7.07,Blog Post,65.47,1194.72,4,6255.539358600582,Quick Win
2023-01-04 14:00:00,vegan leather handbags,Australia,Mobile,1660,1,1078,31717,8.42,6.29,8.08,Category Page,70.34,9936.6,17,5042.448330683625,Quick Win
2023-01-04 15:00:00,vegan leather handbags,Mexico,Desktop,1394,34,1698,18088,6.9,4.27,0.82,Blog Post,12.37,904.84,5,4236.065573770492,Quick Win
2023-01-04 16:00:00,eco-friendly accessories,Germany,Desktop,3028,23,1942,40076,9.7,4.87,9.26,Homepage,26.24,9214.68,0,8229.158110882956,Quick Win
2023-01-04 17:00:00,eco-friendly accessories,Australia,Desktop,7372,61,68,30664,5.84,6.5,13.11,Product Page,27.94,5491.21,14,4717.538461538462,Quick Win
2023-01-04 18:00:00,eco-friendly clothing,United Kingdom,Tablet,9123,68,2889,42512,1.12,22.76,10.45,Product Page,60.84,576.11,6,1867.8383128295252,Low Priority
2023-01-04 19:00:00,recycled fabric dresses,Australia,Tablet,6341,50,2930,49852,9.62,2.6,2.9,Homepage,42.72,4333.25,1,19173.846153846152,Maintain
2023-01-04 20:00:00,sustainable outdoor gear,Germany,Laptop,6671,71,145,10320,6.98,34.71,3.25,Blog Post,37.21,5569.4,11,297.32065687121866,Low Priority
2023-01-04 21:00:00,recycled fabric dresses,Australia,Tablet,7079,95,768,35790,7.76,37.39,6.84,Blog Post,70.02,246.24,8,957.2078095747526,Low Priority
2023-01-04 22:00:00,eco-friendly accessories,United Kingdom,Desktop,8546,60,2381,46730,5.43,17.65,4.37,Blog Post,48.32,1257.97,10,2647.592067988669,Growth Opportunity
2023-01-04 23:00:00,organic cotton apparel,United Kingdom,Mobile,8171,27,1994,4538,9.83,12.23,11.86,Category Page,57.99,9648.43,13,371.0547833197056,Growth Opportunity
2023-01-05 00:00:00,eco-friendly accessories,Germany,Tablet,5425,26,621,40892,5.81,20.65,11.06,Product Page,47.94,8749.76,2,1980.2421307506056,Low Priority
2023-01-05 01:00:00,vegan leather handbags,Canada,Mobile,6103,42,676,1054,0.91,31.99,2.61,Category Page,17.04,7138.58,1,32.947796186308224,Low Priority
2023-01-05 02:00:00,eco-friendly accessories,United Kingdom,Desktop,512,54,2958,40692,1.31,42.65,10.44,Category Page,74.1,895.49,11,954.0914419695193,Low Priority
2023-01-05 03:00:00,sustainable outdoor gear,United Kingdom,Mobile,546,89,1152,26245,8.77,18.42,10.07,Blog Post,47.26,2655.89,1,1424.8099891422366,Growth Opportunity
2023-01-05 04:00:00,recycled fabric dresses,Canada,Laptop,2685,67,2641,40974,4.37,3.62,8.72,Blog Post,44.64,5554.44,15,11318.784530386742,Quick Win
2023-01-05 05:00:00,vegan leather handbags,Canada,Tablet,4660,7,308,18089,0.79,11.97,14.24,Blog Post,36.15,8297.61,13,1511.1946532999164,Growth Opportunity
2023-01-05 06:00:00,eco-friendly accessories,Australia,Mobile,3920,42,1178,16627,0.6,28.52,12.77,Homepage,62.65,1254.38,1,582.9943899018233,Low Priority
2023-01-05 07:00:00,eco-friendly clothing,Canada,Mobile,5829,32,2046,22040,1.72,18.69,12.99,Homepage,70.36,5985.79,13,1179.2402354200105,Growth Opportunity
2023-01-05 08:00:00,organic cotton apparel,Mexico,Tablet,8025,19,1116,18034,1.82,45.76,13.01,Homepage,64.14,8908.54,10,394.0996503496504,Low Priority
2023-01-05 09:00:00,eco-friendly clothing,Canada,Laptop,1254,74,2844,25342,0.96,8.98,10.87,Category Page,80.48,848.22,18,2822.0489977728284,Quick Win
2023-01-05 10:00:00,vegan leather handbags,United Kingdom,Laptop,7063,64,391,32213,3.74,46.52,0.98,Product Page,80.68,3162.91,8,692.4548581255374,Low Priority
2023-01-05 11:00:00,organic cotton apparel,Canada,Laptop,8324,88,87,38836,6.78,15.82,9.35,Category Page,36.21,2088.16,14,2454.867256637168,Growth Opportunity
